odrůda,typ_vína,ročník,cukernatost,kyseliny,alkohol,cena,hodnocení
Pálava,bílé,2016,18.46,5.39,12.61,225.0,80.6
Sauvignon,bílé,2021,21.09,6.31,13.16,262.0,83.9
Svatovavřinecké,červené,2022,20.63,5.06,12.32,353.0,90.9
Modrý Portugal,červené,2018,20.02,5.9,13.33,234.0,83.4
Ryzlink,bílé,2018,20.33,6.98,11.63,272.0,71.9
Modrý Portugal,červené,2018,21.67,5.81,12.93,240.0,87.6
Frankovka,červené,2021,17.21,6.64,12.81,206.0,80.6
Pálava,bílé,2021,19.8,6.85,12.65,266.0,86.5
Pálava,bílé,2018,22.6,5.94,14.01,253.0,84.7
Svatovavřinecké,červené,2015,18.45,5.74,11.75,222.0,80.7
Pálava,bílé,2019,15.9,,12.25,256.0,76.5
Pálava,bílé,2019,20.6,6.69,12.52,230.0,72.9
Svatovavřinecké,červené,2022,21.26,6.09,11.84,212.0,81.9
Ryzlink,bílé,2019,18.68,6.23,12.36,216.0,80.2
Ryzlink,bílé,2015,18.13,7.57,12.8,,76.8
Rulandské bílé,bílé,2014,16.97,6.33,10.77,246.0,77.4
Ryzlink,bílé,2020,18.69,6.57,13.03,307.0,85.4
Ryzlink,bílé,2014,17.11,6.09,12.09,214.0,70.1
Pálava,bílé,2018,20.26,6.48,11.74,279.0,88.1
Veltlínské,bílé,2020,21.08,6.44,11.98,299.0,92.2
Svatovavřinecké,červené,2018,16.78,6.88,12.94,216.0,79.4
Veltlínské,bílé,2019,21.92,6.26,11.87,261.0,74.7
Frankovka,červené,2017,23.74,5.8,13.98,313.0,82.5
Frankovka,červené,2018,23.79,5.64,12.85,267.0,96.3
Ryzlink,bílé,2020,17.6,6.24,11.9,268.0,73.1
Modrý Portugal,červené,2016,,5.97,11.24,272.0,77.6
Modrý Portugal,červené,2019,,6.37,12.26,226.0,79.3
Rulandské bílé,bílé,2016,20.8,6.83,13.07,239.0,85.6
Modrý Portugal,červené,2018,23.14,,12.5,261.0,88.8
Modrý Portugal,červené,2017,19.66,5.84,12.18,236.0,91.4
Ryzlink,bílé,2016,19.26,,12.35,219.0,72.2
Svatovavřinecké,červené,2018,20.44,6.55,12.45,213.0,86.9
Veltlínské,bílé,2022,21.93,5.1,11.93,241.0,83.0
Pálava,bílé,2014,20.22,5.57,14.31,214.0,87.9
Pálava,bílé,2020,19.57,6.49,13.18,226.0,81.4
Rulandské bílé,bílé,2022,21.6,6.25,11.92,297.0,92.9
Veltlínské,bílé,2022,19.49,6.81,10.9,231.0,65.3
Sauvignon,bílé,2019,25.03,,12.91,286.0,80.6
Rulandské bílé,bílé,2020,20.4,5.79,13.29,268.0,86.2
Svatovavřinecké,červené,2019,22.34,,12.69,288.0,85.5
Frankovka,červené,2020,21.01,,12.44,318.0,89.1
Pálava,bílé,2014,22.76,5.65,12.47,269.0,84.5
Sauvignon,bílé,2018,24.24,5.75,12.47,290.0,88.9
Rulandské bílé,bílé,2014,17.67,5.76,12.3,203.0,69.6
Svatovavřinecké,červené,2022,18.97,6.34,12.49,270.0,87.9
Rulandské bílé,bílé,2014,19.12,6.98,,228.0,82.8
Modrý Portugal,červené,2019,25.14,6.06,13.16,,87.6
Ryzlink,bílé,2020,20.88,5.18,13.45,256.0,83.4
Svatovavřinecké,červené,2020,27.25,6.41,,310.0,102.1
Svatovavřinecké,červené,2022,,,13.73,234.0,86.1
Rulandské bílé,bílé,2022,21.79,6.32,13.31,280.0,89.4
Sauvignon,bílé,2018,21.14,5.63,13.75,244.0,70.9
Rulandské bílé,bílé,2018,18.1,6.5,13.04,207.0,76.9
Ryzlink,bílé,2014,22.88,6.32,12.65,264.0,88.0
Modrý Portugal,červené,2015,15.41,6.09,13.82,226.0,60.6
Svatovavřinecké,červené,2014,,5.39,11.88,270.0,79.6
Frankovka,červené,2021,,5.52,13.8,,83.1
Rulandské bílé,bílé,2019,22.51,6.28,12.44,242.0,88.4
Veltlínské,bílé,2018,27.1,6.69,13.58,310.0,81.3
Frankovka,červené,2021,22.74,7.49,12.87,267.0,90.8
Veltlínské,bílé,2016,25.3,5.49,12.01,,79.5
Veltlínské,bílé,2017,18.27,4.96,12.19,167.0,77.5
Modrý Portugal,červené,2019,21.94,5.81,14.15,283.0,81.3
Frankovka,červené,2019,23.02,7.01,12.21,279.0,89.2
Rulandské bílé,bílé,2018,23.92,5.92,13.83,325.0,86.4
Sauvignon,bílé,2016,,6.31,13.67,253.0,87.9
Veltlínské,bílé,2020,18.96,6.12,12.48,229.0,96.2
Sauvignon,bílé,2021,21.58,6.92,11.78,273.0,81.3
Modrý Portugal,červené,2018,19.57,5.83,13.02,232.0,79.1
Modrý Portugal,červené,2020,27.24,6.74,11.77,308.0,91.8
Svatovavřinecké,červené,2019,24.36,6.72,14.17,256.0,89.8
Rulandské bílé,bílé,2021,17.23,6.63,13.47,239.0,78.6
Rulandské bílé,bílé,2017,17.95,6.46,11.19,,81.8
Modrý Portugal,červené,2015,18.3,7.06,13.15,241.0,88.0
Sauvignon,bílé,2017,23.05,5.52,12.37,274.0,89.8
Sauvignon,bílé,2017,22.99,7.11,11.87,,88.5
Veltlínské,bílé,2022,19.65,5.38,12.98,307.0,72.9
Pálava,bílé,2017,21.74,6.13,11.11,201.0,87.4
Ryzlink,bílé,2019,28.01,7.26,11.94,294.0,90.3
Sauvignon,bílé,2020,22.96,6.2,11.94,292.0,85.2
Veltlínské,bílé,2021,22.03,5.45,11.73,256.0,79.5
Sauvignon,bílé,2020,21.63,6.32,12.09,258.0,79.9
Frankovka,červené,2019,18.37,6.57,13.46,,64.9
Veltlínské,bílé,2021,16.17,6.72,12.21,248.0,76.2
Veltlínské,bílé,2015,23.15,6.23,13.34,264.0,76.2
Sauvignon,bílé,2015,24.08,6.98,11.24,289.0,86.0
Svatovavřinecké,červené,2020,16.03,5.69,11.72,278.0,85.9
Rulandské bílé,bílé,2020,22.92,6.05,13.07,291.0,95.4
Sauvignon,bílé,2018,19.7,5.29,12.17,317.0,82.4
Rulandské bílé,bílé,2014,19.75,5.38,11.52,189.0,72.4
Modrý Portugal,červené,2017,20.11,6.13,12.02,,85.6
Sauvignon,bílé,2022,23.66,6.8,12.83,279.0,85.4
Sauvignon,bílé,2019,19.17,6.44,11.51,229.0,75.5
Sauvignon,bílé,2017,18.81,6.95,11.54,237.0,81.9
Modrý Portugal,červené,2017,21.84,4.88,10.46,270.0,81.8
Frankovka,červené,2022,,6.46,13.14,270.0,87.2
Sauvignon,bílé,2021,21.5,4.96,13.34,319.0,83.7
Modrý Portugal,červené,2014,22.28,6.15,11.71,199.0,87.5
Ryzlink,bílé,2015,19.97,7.28,12.93,244.0,80.0
Ryzlink,bílé,2021,22.43,6.02,12.89,296.0,87.6
Svatovavřinecké,červené,2016,24.01,7.24,13.09,256.0,82.9
Svatovavřinecké,červené,2017,23.6,6.92,13.34,225.0,82.7
Pálava,bílé,2019,23.69,6.65,12.99,299.0,77.4
Pálava,bílé,2019,20.7,5.6,11.85,279.0,87.5
Frankovka,červené,2014,22.6,7.42,13.26,265.0,90.3
Ryzlink,bílé,2016,21.79,5.45,11.73,259.0,67.1
Ryzlink,bílé,2019,21.33,6.4,12.37,244.0,80.0
Pálava,bílé,2022,25.1,6.54,11.8,256.0,89.8
Rulandské bílé,bílé,2021,13.29,6.77,12.15,228.0,76.2
Veltlínské,bílé,2021,20.78,6.92,12.42,229.0,80.1
Frankovka,červené,2018,,6.22,12.77,224.0,83.8
Rulandské bílé,bílé,2019,19.98,5.84,13.1,294.0,86.6
Frankovka,červené,2015,18.1,5.87,13.04,220.0,79.9
Pálava,bílé,2022,20.35,7.17,13.41,283.0,85.9
Rulandské bílé,bílé,2020,20.66,5.94,12.57,,81.2
Svatovavřinecké,červené,2022,18.46,6.9,10.78,261.0,80.8
Sauvignon,bílé,2018,17.39,5.14,13.4,246.0,76.8
Pálava,bílé,2016,17.26,8.4,11.4,193.0,70.8
Veltlínské,bílé,2021,20.75,,13.6,243.0,76.8
Veltlínské,bílé,2015,19.48,5.54,,206.0,83.5
Pálava,bílé,2020,23.57,7.86,14.1,279.0,82.4
Sauvignon,bílé,2016,19.71,5.02,12.79,198.0,78.1
Ryzlink,bílé,2020,20.19,6.52,12.27,277.0,75.5
Sauvignon,bílé,2019,20.93,5.06,12.29,253.0,73.9
Svatovavřinecké,červené,2020,22.26,5.83,13.48,226.0,84.9
Sauvignon,bílé,2014,,6.41,12.62,253.0,75.5
Svatovavřinecké,červené,2017,23.19,5.58,11.79,227.0,82.2
Veltlínské,bílé,2016,23.05,5.73,13.2,289.0,85.7
Frankovka,červené,2016,17.71,6.23,11.23,217.0,65.7
Rulandské bílé,bílé,2021,17.69,6.21,12.38,239.0,88.1
Svatovavřinecké,červené,2019,19.93,7.53,14.0,239.0,85.4
Frankovka,červené,2019,24.18,5.45,13.93,295.0,79.7
Rulandské bílé,bílé,2014,22.44,,12.68,265.0,78.0
Rulandské bílé,bílé,2014,25.02,5.43,11.94,257.0,87.7
Veltlínské,bílé,2017,,5.4,12.16,235.0,74.0
Veltlínské,bílé,2021,20.46,6.56,12.99,318.0,92.9
Frankovka,červené,2015,,,13.07,255.0,69.1
Veltlínské,bílé,2022,20.96,4.72,12.45,256.0,87.7
Ryzlink,bílé,2016,17.7,6.29,11.34,251.0,83.1
Frankovka,červené,2019,19.21,7.66,13.64,225.0,79.5
Ryzlink,bílé,2014,17.69,5.77,12.18,259.0,77.9
Rulandské bílé,bílé,2015,17.85,6.13,12.89,251.0,82.6
Sauvignon,bílé,2014,19.83,6.53,14.73,215.0,77.9
Sauvignon,bílé,2021,24.67,5.94,12.1,285.0,83.3
Sauvignon,bílé,2021,19.12,5.36,12.28,,80.7
Rulandské bílé,bílé,2019,14.25,6.54,12.54,224.0,76.4
Svatovavřinecké,červené,2022,20.62,5.83,12.73,313.0,78.3
Modrý Portugal,červené,2015,13.45,5.43,10.62,223.0,74.7
Sauvignon,bílé,2019,19.46,6.77,13.54,242.0,85.0
Rulandské bílé,bílé,2020,15.91,7.76,12.36,227.0,69.8
Svatovavřinecké,červené,2021,22.2,6.97,12.74,287.0,77.7
Veltlínské,bílé,2014,14.71,6.26,12.62,160.0,81.7
Pálava,bílé,2020,17.63,6.23,12.06,227.0,75.0
Modrý Portugal,červené,2018,22.6,6.23,12.14,248.0,90.7
Frankovka,červené,2015,27.42,5.62,,,96.6
Rulandské bílé,bílé,2018,21.57,7.29,,,81.8
Ryzlink,bílé,2016,,6.29,13.14,260.0,94.2
Rulandské bílé,bílé,2016,20.08,5.86,11.54,225.0,70.7
Pálava,bílé,2015,19.68,5.87,12.06,235.0,78.1
Veltlínské,bílé,2014,17.4,6.71,12.69,185.0,81.0
Svatovavřinecké,červené,2015,19.71,5.75,11.81,233.0,86.7
Ryzlink,bílé,2015,23.42,5.61,13.39,246.0,86.0
Frankovka,červené,2020,19.88,6.5,11.92,260.0,89.3
Rulandské bílé,bílé,2020,20.96,5.35,11.83,253.0,88.4
Veltlínské,bílé,2017,23.55,6.36,12.68,256.0,87.4
Pálava,bílé,2020,17.51,5.42,13.19,229.0,80.7
Pálava,bílé,2021,,7.51,11.56,249.0,83.4
Pálava,bílé,2021,19.4,,13.0,243.0,85.3
Sauvignon,bílé,2020,20.81,6.7,13.4,278.0,81.1
Sauvignon,bílé,2015,18.85,5.81,12.09,,72.9
Rulandské bílé,bílé,2017,21.15,5.91,13.35,246.0,79.4
Svatovavřinecké,červené,2021,19.27,6.71,12.07,237.0,87.4
Svatovavřinecké,červené,2016,21.93,7.02,13.01,252.0,81.7
Pálava,bílé,2017,18.53,5.77,11.84,200.0,80.6
Frankovka,červené,2022,,5.52,12.72,272.0,92.3
Ryzlink,bílé,2014,18.25,5.99,12.58,181.0,80.3
Frankovka,červené,2017,19.8,6.31,12.81,,85.1
Svatovavřinecké,červené,2017,20.41,5.67,13.32,220.0,87.5
Svatovavřinecké,červené,2022,16.36,5.8,11.47,224.0,79.8
Modrý Portugal,červené,2020,20.89,5.56,13.69,300.0,86.5
Modrý Portugal,červené,2017,21.0,5.88,12.42,268.0,83.9
Svatovavřinecké,červené,2021,26.64,6.38,12.0,288.0,88.9
Modrý Portugal,červené,2019,20.89,7.2,12.21,260.0,80.8
Pálava,bílé,2022,20.72,6.36,13.06,297.0,81.1
Frankovka,červené,2018,27.86,5.69,13.55,321.0,91.0
Ryzlink,bílé,2022,19.96,5.36,12.59,244.0,71.9
Ryzlink,bílé,2019,21.73,5.84,13.52,279.0,88.2
Modrý Portugal,červené,2015,19.08,5.33,11.48,222.0,76.7
Ryzlink,bílé,2021,18.36,6.83,12.79,249.0,74.9
Modrý Portugal,červené,2016,19.7,6.9,13.27,235.0,73.9
Svatovavřinecké,červené,2021,21.47,6.13,12.51,307.0,84.4
Rulandské bílé,bílé,2022,21.98,5.26,12.37,265.0,80.9
Ryzlink,bílé,2015,20.27,6.98,12.88,249.0,80.0
Svatovavřinecké,červené,2021,20.96,6.81,12.09,234.0,79.9
Modrý Portugal,červené,2015,25.01,5.39,11.37,227.0,92.9
Modrý Portugal,červené,2022,17.98,,10.87,291.0,79.7
Pálava,bílé,2015,21.83,5.92,11.68,266.0,90.1
Sauvignon,bílé,2016,23.52,6.69,11.9,277.0,103.0
Svatovavřinecké,červené,2017,18.23,6.84,,250.0,77.2
Veltlínské,bílé,2018,15.61,4.77,11.59,230.0,70.3
Frankovka,červené,2016,20.14,6.47,13.24,223.0,72.1
Pálava,bílé,2014,23.17,6.85,12.57,264.0,79.1
Frankovka,červené,2021,20.76,5.51,11.17,247.0,81.2
Ryzlink,bílé,2019,19.21,6.69,11.77,259.0,85.2
Svatovavřinecké,červené,2022,19.72,5.56,12.95,230.0,85.1
Rulandské bílé,bílé,2019,18.61,5.94,13.23,249.0,77.0
Veltlínské,bílé,2014,25.59,5.79,12.78,234.0,87.0
Veltlínské,bílé,2019,23.06,6.46,11.99,300.0,92.4
Veltlínské,bílé,2019,19.56,5.77,12.5,255.0,85.1
Svatovavřinecké,červené,2015,19.92,7.45,13.01,223.0,83.8
Veltlínské,bílé,2017,25.98,6.75,13.93,303.0,87.4
Svatovavřinecké,červené,2022,21.86,7.21,12.44,299.0,77.0
Sauvignon,bílé,2014,23.7,5.94,12.08,275.0,85.8
Veltlínské,bílé,2022,,6.76,11.55,228.0,83.9
Modrý Portugal,červené,2014,22.42,5.93,12.22,248.0,85.2
Rulandské bílé,bílé,2014,20.27,7.63,12.21,222.0,85.0
Ryzlink,bílé,2016,22.15,6.28,11.11,276.0,73.1
Pálava,bílé,2019,18.97,5.46,12.26,230.0,87.0
Rulandské bílé,bílé,2015,24.24,5.88,12.36,262.0,91.6
Frankovka,červené,2016,19.09,7.77,13.34,272.0,90.6
Modrý Portugal,červené,2017,20.56,6.87,13.27,226.0,76.5
Modrý Portugal,červené,2014,14.97,6.53,12.95,194.0,71.5
